x[pos,h]
z[(1, 6)] = 1.0
z[(4, 6)] = 1.0
z[(5, 6)] = 1.0
z[(6, 6)] = 1.0
z[(8, 6)] = 1.0
z[(9, 6)] = 1.0
z[(1, 7)] = 1.0
z[(4, 7)] = 1.0
z[(5, 7)] = 1.0
z[(6, 7)] = 1.0
z[(9, 7)] = 1.0
z[(1, 8)] = 1.0
z[(4, 8)] = 1.0
z[(5, 8)] = 1.0
z[(6, 8)] = 1.0
z[(10, 8)] = 1.0
z[(1, 9)] = 1.0
z[(4, 9)] = 1.0
z[(5, 9)] = 1.0
z[(6, 9)] = 1.0
z[(10, 9)] = 1.0
z[(1, 10)] = 1.0
z[(4, 10)] = 1.0
z[(5, 10)] = 1.0
z[(6, 10)] = 1.0
z[(1, 11)] = 1.0
z[(4, 11)] = 1.0
z[(5, 11)] = 1.0
z[(6, 11)] = 1.0
z[(1, 12)] = 1.0
z[(4, 12)] = 1.0
z[(5, 12)] = 1.0
z[(6, 12)] = 1.0
z[(1, 13)] = 1.0
z[(4, 13)] = 1.0
z[(5, 13)] = 1.0
z[(6, 13)] = 1.0
z[(1, 14)] = 1.0
z[(4, 14)] = 1.0
z[(5, 14)] = 1.0
z[(6, 14)] = 1.0
z[(1, 15)] = 1.0
z[(4, 15)] = 1.0
z[(5, 15)] = 1.0
z[(6, 15)] = 1.0
z[(7, 15)] = 1.0
z[(1, 16)] = 1.0
z[(4, 16)] = 1.0
z[(5, 16)] = 1.0
z[(6, 16)] = 1.0
z[(7, 16)] = 1.0
z[(1, 17)] = 1.0
z[(4, 17)] = 1.0
z[(5, 17)] = 1.0
z[(6, 17)] = 1.0
z[(7, 17)] = 1.0
z[(10, 17)] = 1.0
z[(1, 18)] = 1.0
z[(4, 18)] = 1.0
z[(5, 18)] = 1.0
z[(6, 18)] = 1.0
z[(7, 18)] = 1.0
z[(10, 18)] = 1.0
z[(1, 19)] = 1.0
z[(2, 19)] = 1.0
z[(4, 19)] = 1.0
z[(5, 19)] = 1.0
z[(6, 19)] = 1.0
z[(10, 19)] = 1.0
z[(1, 20)] = 1.0
z[(4, 20)] = 1.0
z[(5, 20)] = 1.0
z[(6, 20)] = 1.0
z[(7, 20)] = 1.0
z[(10, 20)] = 1.0
z[(1, 21)] = 1.0
z[(4, 21)] = 0.5
z[(5, 21)] = 1.0
z[(6, 21)] = 1.0
z[(10, 21)] = 1.0
z[(1, 22)] = 1.0
z[(4, 22)] = 1.0
z[(5, 22)] = 1.0
z[(6, 22)] = 1.0
z[(7, 22)] = 1.0
z[(10, 22)] = 1.0
z[(1, 23)] = 1.0
z[(4, 23)] = 1.0
z[(5, 23)] = 1.0
z[(6, 23)] = 1.0
z[(7, 23)] = 1.0
z[(10, 23)] = 1.0
z[(1, 24)] = 1.0
z[(4, 24)] = 1.0
z[(5, 24)] = 1.0
z[(6, 24)] = 1.0
z[(7, 24)] = 1.0
z[(10, 24)] = 1.0
z[(1, 25)] = 1.0
z[(5, 25)] = 1.0
z[(6, 25)] = 1.0
z[(7, 25)] = 1.0
z[(10, 25)] = 1.0
z[(1, 26)] = 1.0
z[(5, 26)] = 1.0
z[(6, 26)] = 1.0
z[(10, 26)] = 1.0
z[(1, 27)] = 1.0
z[(5, 27)] = 1.0
z[(6, 27)] = 1.0
z[(7, 27)] = 1.0
z[(9, 27)] = 0.5
z[(10, 27)] = 1.0
z[(1, 28)] = 1.0
z[(5, 28)] = 1.0
z[(6, 28)] = 1.0
z[(7, 28)] = 1.0
z[(10, 28)] = 1.0
z[(1, 29)] = 1.0
z[(5, 29)] = 1.0
z[(6, 29)] = 1.0
z[(7, 29)] = 1.0
z[(10, 29)] = 1.0
z[(1, 30)] = 1.0
z[(5, 30)] = 1.0
z[(6, 30)] = 1.0
z[(7, 30)] = 1.0
z[(10, 30)] = 1.0
z[(1, 31)] = 1.0
z[(5, 31)] = 1.0
z[(6, 31)] = 1.0
z[(7, 31)] = 1.0
z[(10, 31)] = 1.0
z[(1, 32)] = 1.0
z[(5, 32)] = 1.0
z[(6, 32)] = 1.0
z[(7, 32)] = 1.0
z[(10, 32)] = 1.0
z[(1, 33)] = 1.0
z[(5, 33)] = 1.0
z[(6, 33)] = 1.0
z[(10, 33)] = 1.0
z[(1, 34)] = 1.0
z[(5, 34)] = 1.0
z[(6, 34)] = 1.0
z[(7, 34)] = 1.0
z[(10, 34)] = 1.0
z[(1, 35)] = 1.0
z[(5, 35)] = 1.0
z[(6, 35)] = 1.0
z[(7, 35)] = 1.0
z[(10, 35)] = 1.0
z[(1, 36)] = 1.0
z[(5, 36)] = 1.0
z[(6, 36)] = 1.0
z[(10, 36)] = 1.0
z[(1, 37)] = 1.0
z[(5, 37)] = 1.0
z[(6, 37)] = 1.0
z[(10, 37)] = 1.0
z[(1, 38)] = 1.0
z[(5, 38)] = 1.0
z[(6, 38)] = 1.0
z[(10, 38)] = 1.0
z[(1, 39)] = 1.0
z[(5, 39)] = 1.0
z[(6, 39)] = 1.0
z[(10, 39)] = 1.0
z[(1, 40)] = 1.0
z[(5, 40)] = 1.0
z[(6, 40)] = 1.0
z[(10, 40)] = 1.0
z[(1, 41)] = 1.0
z[(5, 41)] = 1.0
z[(6, 41)] = 1.0
z[(10, 41)] = 1.0
z[(1, 42)] = 1.0
z[(5, 42)] = 1.0
z[(6, 42)] = 1.0
z[(10, 42)] = 1.0
z[(1, 43)] = 1.0
z[(5, 43)] = 1.0
z[(6, 43)] = 1.0
z[(10, 43)] = 1.0
z[(1, 44)] = 1.0
z[(5, 44)] = 1.0
z[(6, 44)] = 1.0
z[(7, 44)] = 1.0
z[(10, 44)] = 1.0
z[(1, 45)] = 1.0
z[(5, 45)] = 1.0
z[(6, 45)] = 1.0
z[(7, 45)] = 1.0
z[(10, 45)] = 1.0
z[(1, 46)] = 1.0
z[(5, 46)] = 1.0
z[(6, 46)] = 1.0
z[(7, 46)] = 1.0
z[(10, 46)] = 1.0
z[(1, 47)] = 1.0
z[(5, 47)] = 1.0
z[(6, 47)] = 1.0
z[(7, 47)] = 1.0
z[(10, 47)] = 1.0
z[(1, 48)] = 1.0
z[(5, 48)] = 1.0
z[(6, 48)] = 1.0
z[(7, 48)] = 1.0
z[(10, 48)] = 1.0
z[(1, 49)] = 1.0
z[(5, 49)] = 1.0
z[(6, 49)] = 1.0
z[(10, 49)] = 1.0
z[(1, 50)] = 1.0
z[(5, 50)] = 1.0
z[(6, 50)] = 1.0
z[(7, 50)] = 1.0
z[(10, 50)] = 1.0
z[(1, 51)] = 1.0
z[(5, 51)] = 1.0
z[(6, 51)] = 1.0
z[(7, 51)] = 1.0
z[(10, 51)] = 1.0
z[(1, 52)] = 1.0
z[(4, 52)] = 1.0
z[(5, 52)] = 1.0
z[(6, 52)] = 1.0
z[(7, 52)] = 1.0
z[(10, 52)] = 1.0
z[(1, 53)] = 1.0
z[(4, 53)] = 1.0
z[(5, 53)] = 1.0
z[(6, 53)] = 1.0
z[(7, 53)] = 1.0
z[(10, 53)] = 1.0
z[(1, 54)] = 1.0
z[(5, 54)] = 1.0
z[(6, 54)] = 1.0
z[(7, 54)] = 1.0
z[(10, 54)] = 1.0
z[(1, 55)] = 1.0
z[(4, 55)] = 1.0
z[(5, 55)] = 1.0
z[(6, 55)] = 1.0
z[(7, 55)] = 1.0
z[(10, 55)] = 1.0
z[(1, 56)] = 1.0
z[(4, 56)] = 1.0
z[(5, 56)] = 1.0
z[(6, 56)] = 1.0
z[(7, 56)] = 1.0
z[(10, 56)] = 1.0
z[(1, 57)] = 1.0
z[(4, 57)] = 1.0
z[(5, 57)] = 1.0
z[(6, 57)] = 1.0
z[(7, 57)] = 1.0
z[(10, 57)] = 1.0
z[(1, 58)] = 1.0
z[(5, 58)] = 1.0
z[(6, 58)] = 1.0
z[(7, 58)] = 1.0
z[(10, 58)] = 1.0
z[(1, 59)] = 1.0
z[(5, 59)] = 1.0
z[(6, 59)] = 1.0
z[(7, 59)] = 1.0
z[(10, 59)] = 1.0
z[(1, 60)] = 1.0
z[(4, 60)] = 1.0
z[(5, 60)] = 1.0
z[(6, 60)] = 1.0
z[(7, 60)] = 1.0
z[(10, 60)] = 1.0
z[(1, 61)] = 1.0
z[(5, 61)] = 1.0
z[(6, 61)] = 1.0
z[(7, 61)] = 1.0
z[(10, 61)] = 1.0
z[(1, 62)] = 1.0
z[(5, 62)] = 1.0
z[(6, 62)] = 1.0
z[(7, 62)] = 1.0
z[(10, 62)] = 1.0
z[(1, 63)] = 1.0
z[(5, 63)] = 1.0
z[(6, 63)] = 1.0
z[(7, 63)] = 1.0
z[(10, 63)] = 1.0
z[(1, 64)] = 1.0
z[(5, 64)] = 1.0
z[(6, 64)] = 1.0
z[(7, 64)] = 1.0
z[(10, 64)] = 1.0
z[(1, 65)] = 1.0
z[(5, 65)] = 1.0
z[(6, 65)] = 1.0
z[(7, 65)] = 1.0
z[(10, 65)] = 1.0
z[(1, 66)] = 1.0
z[(5, 66)] = 1.0
z[(6, 66)] = 1.0
z[(7, 66)] = 1.0
z[(10, 66)] = 1.0
z[(1, 67)] = 1.0
z[(5, 67)] = 1.0
z[(6, 67)] = 1.0
z[(7, 67)] = 1.0
z[(10, 67)] = 1.0
z[(1, 68)] = 1.0
z[(5, 68)] = 1.0
z[(6, 68)] = 1.0
z[(7, 68)] = 1.0
z[(10, 68)] = 1.0
z[(1, 69)] = 1.0
z[(4, 69)] = 1.0
z[(5, 69)] = 1.0
z[(6, 69)] = 1.0
z[(7, 69)] = 1.0
z[(10, 69)] = 1.0
z[(1, 70)] = 1.0
z[(4, 70)] = 1.0
z[(5, 70)] = 1.0
z[(6, 70)] = 1.0
z[(7, 70)] = 1.0
z[(10, 70)] = 1.0
z[(1, 71)] = 1.0
z[(4, 71)] = 1.0
z[(5, 71)] = 1.0
z[(6, 71)] = 1.0
z[(7, 71)] = 1.0
z[(10, 71)] = 1.0
z[(1, 72)] = 1.0
z[(4, 72)] = 1.0
z[(5, 72)] = 1.0
z[(6, 72)] = 1.0
z[(7, 72)] = 1.0
z[(10, 72)] = 1.0
z[(1, 73)] = 1.0
z[(4, 73)] = 1.0
z[(5, 73)] = 1.0
z[(6, 73)] = 1.0
z[(7, 73)] = 1.0
z[(10, 73)] = 1.0
z[(1, 74)] = 1.0
z[(4, 74)] = 1.0
z[(5, 74)] = 1.0
z[(6, 74)] = 1.0
z[(7, 74)] = 1.0
z[(10, 74)] = 1.0
z[(1, 75)] = 1.0
z[(4, 75)] = 1.0
z[(5, 75)] = 1.0
z[(6, 75)] = 1.0
z[(7, 75)] = 1.0
z[(10, 75)] = 1.0
z[(1, 76)] = 1.0
z[(4, 76)] = 1.0
z[(5, 76)] = 1.0
z[(6, 76)] = 1.0
z[(7, 76)] = 1.0
z[(10, 76)] = 1.0
z[(1, 77)] = 1.0
z[(4, 77)] = 1.0
z[(5, 77)] = 1.0
z[(6, 77)] = 1.0
z[(7, 77)] = 1.0
z[(10, 77)] = 1.0
z[(1, 78)] = 1.0
z[(4, 78)] = 1.0
z[(5, 78)] = 1.0
z[(6, 78)] = 1.0
z[(7, 78)] = 1.0
z[(10, 78)] = 1.0
z[(1, 79)] = 1.0
z[(4, 79)] = 1.0
z[(5, 79)] = 1.0
z[(6, 79)] = 1.0
z[(7, 79)] = 1.0
z[(10, 79)] = 1.0
z[(1, 80)] = 1.0
z[(4, 80)] = 1.0
z[(5, 80)] = 1.0
z[(6, 80)] = 1.0
z[(7, 80)] = 1.0
z[(10, 80)] = 1.0
z[(1, 81)] = 1.0
z[(4, 81)] = 1.0
z[(5, 81)] = 1.0
z[(6, 81)] = 1.0
z[(7, 81)] = 1.0
z[(10, 81)] = 1.0
z[(1, 82)] = 1.0
z[(4, 82)] = 1.0
z[(5, 82)] = 1.0
z[(6, 82)] = 1.0
z[(7, 82)] = 1.0
z[(10, 82)] = 1.0
z[(1, 83)] = 1.0
z[(4, 83)] = 1.0
z[(5, 83)] = 1.0
z[(6, 83)] = 1.0
z[(7, 83)] = 1.0
z[(10, 83)] = 1.0
z[(1, 84)] = 1.0
z[(4, 84)] = 1.0
z[(5, 84)] = 1.0
z[(6, 84)] = 1.0
z[(7, 84)] = 1.0
z[(10, 84)] = 1.0
z[(1, 85)] = 1.0
z[(2, 85)] = 1.0
z[(4, 85)] = 1.0
z[(5, 85)] = 1.0
z[(6, 85)] = 1.0
z[(7, 85)] = 1.0
z[(10, 85)] = 1.0
z[(1, 86)] = 1.0
z[(2, 86)] = 1.0
z[(4, 86)] = 1.0
z[(5, 86)] = 1.0
z[(6, 86)] = 1.0
z[(7, 86)] = 1.0
z[(10, 86)] = 1.0
z[(1, 87)] = 1.0
z[(2, 87)] = 1.0
z[(4, 87)] = 1.0
z[(5, 87)] = 1.0
z[(6, 87)] = 1.0
z[(7, 87)] = 1.0
z[(10, 87)] = 1.0
z[(1, 88)] = 1.0
z[(2, 88)] = 1.0
z[(4, 88)] = 1.0
z[(5, 88)] = 1.0
z[(6, 88)] = 1.0
z[(7, 88)] = 1.0
z[(10, 88)] = 1.0
z[(1, 89)] = 1.0
z[(2, 89)] = 1.0
z[(4, 89)] = 1.0
z[(5, 89)] = 1.0
z[(6, 89)] = 1.0
z[(7, 89)] = 1.0
z[(10, 89)] = 1.0
z[(1, 90)] = 1.0
z[(4, 90)] = 1.0
z[(5, 90)] = 1.0
z[(6, 90)] = 1.0
z[(7, 90)] = 1.0
z[(9, 90)] = 1.0
z[(10, 90)] = 1.0
z[(1, 91)] = 1.0
z[(4, 91)] = 1.0
z[(5, 91)] = 1.0
z[(6, 91)] = 1.0
z[(7, 91)] = 1.0
z[(10, 91)] = 1.0
z[(1, 92)] = 1.0
z[(4, 92)] = 1.0
z[(5, 92)] = 1.0
z[(6, 92)] = 1.0
z[(7, 92)] = 1.0
z[(9, 92)] = 1.0
z[(10, 92)] = 1.0
z[(1, 93)] = 1.0
z[(4, 93)] = 1.0
z[(5, 93)] = 1.0
z[(6, 93)] = 1.0
z[(7, 93)] = 1.0
z[(9, 93)] = 1.0
z[(10, 93)] = 1.0
z[(1, 94)] = 1.0
z[(4, 94)] = 1.0
z[(5, 94)] = 1.0
z[(6, 94)] = 1.0
z[(7, 94)] = 1.0
z[(10, 94)] = 1.0
z[(1, 95)] = 1.0
z[(4, 95)] = 1.0
z[(5, 95)] = 1.0
z[(6, 95)] = 1.0
z[(7, 95)] = 1.0
z[(10, 95)] = 1.0
z[(1, 96)] = 1.0
z[(4, 96)] = 1.0
z[(5, 96)] = 1.0
z[(6, 96)] = 1.0
z[(7, 96)] = 1.0
z[(10, 96)] = 1.0
z[(1, 97)] = 1.0
z[(4, 97)] = 1.0
z[(5, 97)] = 1.0
z[(6, 97)] = 1.0
z[(7, 97)] = 1.0
z[(10, 97)] = 1.0
z[(1, 98)] = 1.0
z[(4, 98)] = 1.0
z[(5, 98)] = 1.0
z[(6, 98)] = 1.0
z[(7, 98)] = 1.0
z[(10, 98)] = 1.0
z[(1, 99)] = 1.0
z[(4, 99)] = 1.0
z[(5, 99)] = 1.0
z[(6, 99)] = 1.0
z[(7, 99)] = 1.0
z[(9, 99)] = 1.0
z[(10, 99)] = 1.0
z[(1, 100)] = 1.0
z[(4, 100)] = 1.0
z[(5, 100)] = 1.0
z[(6, 100)] = 1.0
z[(7, 100)] = 1.0
z[(9, 100)] = 1.0
z[(10, 100)] = 1.0
